Tên Sản Phẩm,Thông tin,Giá Bán,Giá Gốc,GPU,RAM,Loại RAM,Số khe RAM,Bộ Nhớ,Kích Thước,Màn Hình,Dung Lượng Pin,Hệ Điều Hành,Độ Phân Giải,CPU,Cổng Giao Tiếp,Chip AI,Độ Dày,Trọng Lượng,Hãng Sản Xuất
Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN,I7-1355U/16GB/512GB PCIE/14.0 WUXGA/WIN 11/XÁM,20490000.0,22990000.0,Intel Iris Xe Graphics,16GB,DDR5-5200,2x 8GB SO-DIMM DDR5-5200 (Nâng cấp tối đa 64GB),"512GB SSD M.2 2280 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp đến 2TB)",14 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 100% sRGB,45Wh,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel Core i7-1355U, 10C (2P + 8E) / 12T, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, 12MB","2x USB 3.2 Gen 1 1x USB-C (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x RJ-45 1x Đầu đọc thẻ SD",,17.1,1.6,Lenovo
Laptop MSI Modern 15 B7M-238VN,R7-7730U/16GB/512GB PCIE/15.6 FHD/WIN11/ĐEN,12990000.0,16990000.0,AMD Radeon Graphics,16GB,DDR4 3200 MHz Onboard,,512 GB SSD,15.6 inches,Độ phủ màu 45% NTSC,39.3Whr 3 Cell,Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 7730U  (2.0 GHz up to 4.3 GHz, 8 lõi / 16 luồng, 24 MB)",1 x HDMI 1 x Jack 3.5 mm 1 x Type C 1 x USB 3.2 2 x USB 2.0,,18.0,1.7,MSI
Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q1VN,I5-13420H/16GB/512GB PCIE/16.0 WUXGA/WIN11 PRO/XÁM,17190000.0,19290000.0,Intel UHD Graphics,16GB,SO-DIMM DDR5-5200,"2 khe (2x 8GB, nâng cấp tối đa 64GB DDR5-5200)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD lên đến 1TB • M.2 2280 SSD lên đến 2TB)",16 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,71Wh USB-C mỏng 100W (3 chân),"Máy nguyên bản Free OS, được tặng Windows 11 Pro",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12  luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 2 (truyền dữ liệu, sạc, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 (truyền dữ liệu, sạc, DisplayPort 1.4) 1x HDMI 2.1 1x giắc cắm kết hợp tai nghe/micrô (3.5mm) 1x Ethernet (RJ-45) 1x đầu đọc thẻ SD",,17.1,1.8,Lenovo
MacBook Air M3 15 inch 2024 8CPU 10GPU 16GB 256GB Sạc 35W | Chính hãng Apple Việt Nam,,27990000.0,32990000.0,GPU 10 Lõi,16GB,,,256GB SSD,15.3 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,,11.3,1.24,Apple
Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng,I3-1215U/8GB/512GB PCIE/15.6 FHD/WIN11 PRO/ĐEN NHẬP KHẨU CHÍNH HÃNG,10490000.0,11990000.0,Intel UHD Graphics,8GB,DDR4 SODIMM,2 khe nâng cấp tối đa 16 GB,512GB PCIE,15.6 inches,Độ sáng 250 nitsĐộ phủ màu NTSC 45%Thời gian phản hồi 35 ms Màn hình chống chói,"3-cell, 41 Wh lithium-polymer","Máy nguyên bản Free OS, được tặng Windows 11 Pro",1920 x 1080 pixels (FullHD),"Intel Core i3-1215U (15 W, 6 lõi / 8 luồng, 1.20 GHz to 4.40 GHz, 10 MB)",1x Đầu đọc thẻ SD 1x USB 2.0 1x Ethernet (RJ45) 1x Headset (headphone and microphone combo) 1x Khe cắm cáp bảo mật (hình nêm) 1x Đầu nối nguồn 1x HDMI 1.4 2x USB 3.2 Gen 1,,18.0,1.7,Dell
Laptop HP 14S-DQ5121TU 8W355PA,I3-1215U/8GB/512GB PCIE/14.0 FHD/WIN11/BẠC,9990000.0,12990000.0,Intel UHD Graphics,8GB,DDR4 3200Mhz,2 khe (1 x 8GB),512GB SSD PCIe (M.2 2280),14 inches,,3 Cell Int (41.04Wh),Windows 11 Home Single Language 64-bit,1920 x 1080 pixels (FullHD),Intel Core i3-1215U (6 lõi) - Max Turbo Frequency: 4.40 GHz,2 x USB 3.2 Gen 1 Type-A  1 x USB 3.2 Gen 1 Type-C 1 x HDMI  1 x Headphone/ Microphone combo audio jack,,18.0,1.6,HP
Laptop Lenovo Legion Slim 5 16AHP9 83DH003AVN,R7-8845HS/16GB/512GB PCIE/VGA 8GB RTX4060/16.0 WQXGA 165HZ/WIN11/XÁM,36990000.0,41990000.0,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W",16GB,DDR5-5600,2 khe DDR5 (nâng cấp tối đa 64GB DDR5-5600),"512GB SSD M.2 2280 PCIe 4.0x4 NVMe (hai ổ đĩa SSD M.2 SSD, nâng cấp tối đa 1TB)",16 inches,Độ sáng 350 nits  Màn hình chống chói  Độ phủ màu 100% sRGB  Dolby Vision  G-Sync  Free-Sync Premium  Giảm ánh sáng xanh,80Wh,Windows 11 Home,2560 x 1600 (WQXGA),"AMD Ryzen 7 8845HS (8C / 16T, 3.8 / 5.1GHz, 8MB L2 / 16MB L3)","1x USB-A (luôn bật)  3x USB-A   1x USB-C (PD 140W / DisplayPort 1.4) 1x USB-C (DisplayPort 1.4) 1x HDMI 2.1, tối đa 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu đọc thẻ  1x Đầu nối nguồn",,17.1,2.0,Lenovo
Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W,I5-13420H/16GB/512GB PCIE/14.0 WUXGA/CẢM ỨNG/BÚT/WIN11/BẠC,18490000.0,20990000.0,Intel UHD Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM (Có thể nâng cấp; Cần tháo vỏ dưới/trên),512GB M.2 NVMe PCIe 4.0 SSD,14 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSC TÜV Rheinland-certifiedWith stylus support,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",1x USB 2.0 Type-A (480Mbps) 1x USB 3.2 Gen 2 Type-A (10Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ hiển thị/cung cấp điện (10Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm 1x DC-in,,14.9,1.6,ASUS
Laptop Lenovo IdeaPad 1 14ALC7 82R30099VN,R5-5625U/16GB/512GB PCIE/14.0 FHD/WIN11/XÁM,11490000.0,12790000.0,AMD Radeon Graphics,16GB,DDR4-3200,Tối đa 16GB (8GB Onboard + 8GB SO-DIMM) DDR4-3200 offering,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD hoặc 512GB M.2 2280 SSD)",14 inches,Độ sáng 250nits Màn hình chống chói,"42Wh, 65W Round Tip (3-pin)","Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"AMD Ryzen 5 5625U (6 lõi / 12 luồng, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)",1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (chỉ hỗ trợ truyền dữ liệu) 1x HDMI 1.4b 1x Giắc cắm kết hợp tai nghe/micrô (3.5 mm) 1x Đầu đọc thẻ 1x Đầu nối nguồn,,19.5,1.6,Lenovo
Laptop Dell Vostro 3520 F0V0V256 - Nhập khẩu chính hãng,I5-1235U/8GB/256GB PCIE/15.6 FHD/WIN11 PRO/ĐEN,12390000.0,13990000.0,Intel Iris Xe Graphics,8GB,DDR4,2 khe SODIMM (Nâng cấp tối đa 16GB),256 GB SSD NVMe PCIe,15.6 inches,Độ phủ màu NTSC 45%  Màn hình chống chói,,"Máy nguyên bản Free OS, được tặng Windows 11 Pro",1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (10 lõi / 12 luồng, 1.30 GHz to 4.40 GHz, 12 MB)","1x RJ45 Ethernet  2x USB 3.2 Gen 1 1x USB 3.2 Gen 1 1x USB 3.2 Gen 1 Type-C (DisplayPort 1.4) 1x USB 2.0  1x HDMI 1.4  1x USB 3.2 Gen 1 Type-C với DisplayPort 1.4 1x Khe cắm thẻ SD 1x Bộ đổi nguồn AC 65 W, 4,5 mm",,18.0,1.7,Dell
Laptop Dell Inspiron 15 3520 N3520-I5U165W11SLU,I5-1235U/16GB/512GB PCIE/15.6 FHD 120HZ/WIN11 + OFFICE/BẠC,15990000.0,16990000.0,Intel UHD Graphics,16GB,DDR4 So-DIMM 3200,"2 khe (2 x 8GB, tối đa 16GB)",512GB M.2 2230 NVMe PCIe SSD,15.6 inches,Màn hình chống chói,"Pin liền, 3-Cell Battery, 41WHrC32",Windows 11 Home + Office Home & Student 2021,1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (12MB Cache, up to 4.4 GHz)",2x USB 3.2 Gen 1  1x USB 2.0  1x HDMI 1.4  1x SD-card slot,,18.0,1.8,Dell
MacBook Air M3 13 inch 2024 8CPU 10GPU 24GB - 512GB Sạc 35W | Chính hãng Apple Việt Nam,,32490000.0,37990000.0,GPU 10 Lõi,24GB,,,512GB SSD,13.6 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,,11.3,1.24,Apple
Laptop Dell Inspiron 15 3520 9NGK8 - Nhập khẩu chính hãng,I7-1255U/16GB/1TB PCIE/15.6 FHD/WIN11/ĐEN,18290000.0,20490000.0,Intel Graphics,16GB,DDR4 Bus 3200,2 khe - tối đa 16GB,1 Slot SDD 1TB,15.6 inches,Độ phủ màu NTSC 45%  Màn hình chống chói,"41Wh , 3Cell",Windows 11,1920 x 1080 pixels (FullHD),"Intel Core i7-1255U thế hệ thứ 12 / 10 nhân 12 luồng / 4.40 GHz, 12MB",1x Đầu nối nguồn 1x HDMI 1.4 2x USB 3.2 Gen 1 1x Khe cắm thẻ SD 1x USB 2.0 1x Cổng tai nghe,,18.0,1.8,Dell
Laptop ASUS Vivobook 15 X1504VA-BQ2076W,I5-1334U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,14990000.0,15990000.0,Intel Iris Xe Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSC Màn hình chống chóiTÜV Rheinland-certified,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-1334U 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 lõi, 12 luồng)",1x USB 2.0 Type-A (tốc độ dữ liệu lên đến 480Mbps) 1x USB 3.2 Gen 1 Type-C (5Gbps) 2x USB 3.2 Gen 1 Type-A (5Gbps) 1x HDMI 1.4 1x Giắc cắm âm thanh kết hợp 3.5mm 1x DC-in,,17.7,1.7,ASUS
Laptop ASUS Zenbook DUO UX8406MA-PZ142W,U9-185H/32GB/1TB PCIE/14.0 3K OLED/WIN11/BÚT/TÚI/XÁM,54990000.0,59990000.0,Intel Arc Graphics,32GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,14 inches,Thời gian phản hồi 0.2ms Độ sáng tối đa HDR 500nits  Gam màu 100% DCI-P3Display HDR True Black 5001.07 tỷ màuGiảm ánh sáng xanh 70%,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,2880 x 1800 pixels,"Intel Core Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 lõi, 22 luồng)",1x USB 3.2 Gen 1 Type-A   2x Thunderbolt 4 (Hiển thị / Sạc)   1x HDMI 2.1 TMDS   1x 3.5mm Combo Audio Jack,,13.9,1.4,ASUS
Laptop Lenovo Yoga Slim 9 14ILL10 83CX001AVN,U7-258V/32GB/1TB PCIE/14.0 4K OLED/CẢM ỨNG/WIN11 + OFFICE/XANH,56990000.0,59990000.0,Intel Arc Graphics 140V,32GB,LPDDR5x-8533,Onboard,"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)",14 inches,Độ sáng 750nits (peak) / 600nits (typical) Độ phủ màu 100% DCI-P3 Eyesafe Dolby Vision DisplayHDR True Black 600 X-Rite PureSight Pro,75Wh (65W USB-C Slim (Wall-mount)),"Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024 + Lenovo AI Now",3840 x 2400 pixel (4K),"Intel Core Ultra 7 258V, 8 lõi (4P + 4LPE) / 8 luồng, Max Turbo up to 4.8GHz, 12MB","2x USB-C (Thunderbolt 4 / USB4 40Gbps), với USB PD 3.0 và DisplayPort 2.1","Intel AI Boost, up to 47 TOPS",13.9,1.3,Lenovo
Laptop HP Envy X360 2IN1 14-FC0086TU A19BWPA,U7-155U/32GB/512GB PCIE/14.0 2.8K OLED/CẢM ỨNG/BÚT/WIN11/BẠC,31990000.0,35290000.0,Intel Graphics,32GB,LPDDR5 6400Mhz,Onboard,512GB SSD PCIe (M.2 2280),14 inches,,3 Cell Int (59.16Wh),Windows 11 Home Single Language 64-bit,2880 x 1800 pixels,Intel Core Ultra 7 155U (12 lõi) - Max Turbo Frequency: 4. 80 GHz,2 x USB 3.2 Gen 2 Type-A (một cổng có HP Sleep & Charge) 1 x USB 3.2 Gen 2 Type-C (Sạc/DisplayPort/HP Sleep & Charge) 1 x Thunderbolt 4 (Sạc/DisplayPort/HP Sleep & Charge) 1 x HDMI 1 x giắc cắm âm thanh kết hợp tai nghe/micrô,Intel AI  Boost,16.9,1.6,HP
Laptop ASUS Vivobook S14 OLED S5406SA-PP060WS,U5-226V/16GB/512GB PCIE/14.0 3K OLED 120HZ/WIN11 + OFFICE/XANH,25990000.0,28990000.0,Intel Arc Graphics,16GB,LPDDR5X 16GB,,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,Giảm 70% ánh sáng xanh có hại1.07 tỷ màuDisplay HDR True Black 600Gamut mappingĐộ phủ màu 100% DCI-P3Độ sáng tối đa 600nits HDR,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 5 226V 16GB 2.1 GHz (8MB Cache, up to 4.5 GHz, 8 lõi, 8 luồng)",2x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 2x Thunderbolt 4 hỗ trợ hiển thị/cung cấp điện (tốc độ dữ liệu lên đến 40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm Đầu đọc thẻ Micro SD,Intel AI Boost NPU up to 40,14.9,1.6,ASUS
Mac mini M4 2024 10CPU 10GPU 32GB 512GB | Chính hãng Apple Việt Nam,,29590000.0,29990000.0,GPU 10 lõi,32GB,,,512GB ,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 4,,macOS,,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3 Jack cắm tai nghe 3,5 mmMặt sau:  Cổng Gigabit Ethernet  Cổng HDMIThunderbolt 4USB 4DisplayPort",,36.0,1.18,Apple
Laptop ASUS Gaming ROG Zephyrus G16 GU603VU-N4019W,I7-13620H/16GB/512GB PCIE/VGA 6GB RTX4050/16.0 QHD+ 240HZ/WIN11/XÁM,37990000.0,44990000.0,NVIDIA GeForce RTX 4050 6GB GDDR6,16GB,DDR4 On board,1 khe (nâng cấp tối đa 48GB),512GB PCIe 4.0 NVMe M.2 SSD (1 thanh M2 trống hỗ trợ nâng cấp lên đến 2TB),16 inches,Độ sáng 500 nitsĐộ phủ màu 100% DCI-P3Màn hình chống chóiG-SyncROG Nebula Display Dolby Vision HDR,"90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,2560x1600 pixel (QHD+),"Intel Core i7-13620H 2.4 GHz (24M Cache, up to 4.9 GHz, 10 lõi: 6 P-cores and 4 E-cores)",1x RJ45 LAN   1x Thunderbolt 4 hỗ trợ DisplayPort/Sạc  1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC)  2x USB 3.2 Gen 2 Type-A  1x HDMI 2.1 FRL  1x 3.5mm Combo Audio Jack 1x Đầu đọc thẻ (microSD) (UHS-II),,22.8,2.1,ASUS
Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001,R7-5700U/16GB/512GB PCIE/14.0 FHD/WIN11/BẠC,11990000.0,13990000.0,AMD Radeon™ Graphics,16GB,LPDDR4X Onboard,Không hỗ trợ nâng cấp,512GB PCIe Gen4 NVMe (nâng cấp tối đa 1 TB PCIe Gen3),14 inches,45% NTSCLED BacklitAcer ComfyView,3 cell 50 Wh,Windows 11,1920 x 1200 pixels (FullHD+),"AMD Ryzen 7 5700U (8 nhân/16 luồng, xung nhịp tối đa 4.30 GHz, 8MB)",1 x USB Type-C2 x USB-A 11 x HDMI® hỗ trợ HDCP1 x Jack tai nghe 3.5 mm,,19.5,1.7,Acer
Laptop ASUS Vivobook 15 X1504ZA-NJ1039W,I7-1255U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,15990000.0,17990000.0,Intel Iris Xe Graphics,16GB,DDR4,2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM),512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSCTÜV Rheinland-certifiedMàn hình chống chói,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home ,1920 x 1080 pixels (FullHD),"Intel Core i7-1255U 1.7 GHz (12M Cache, up to 4.7 GHz, 10 lõi)",1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in,,17.7,1.7,ASUS
Laptop gaming MSI Thin A15 B7UCX 020VN,R5-7535HS/8GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 144HZ/WIN11/XÁM/BALO,14990000.0,18990000.0,NVIDIA GeForce RTX 2050 Laptop GPU 4GB GDDR6,8GB,DDR5,2 khe,512GB NVMe PCIe SSD Gen4x4 ,15.6 inches,,3-Cell 52.4 Battery,Windows 11 Home,1920 x 1080 pixels (FullHD),"Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores 12 threads, 16MB cache)",1x Type-C (USB3.2 Gen2 / DP) with PD charging  3x Type-A USB3.2 Gen1  1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)  1x RJ45,,22.8,2.1,MSI
Laptop HP Gaming Victus 15-FB1023AX 94F20PA,R5-7535HS/8GB + 8GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD/WIN11/BẠC,16690000.0,24490000.0,NVIDIA GeForce RTX 2050 4GB GDD6,16GB,DDR5 4800 MHz,"2 khe (2 x 8GB, máy nguyên bản 8GB, được tặng 8GB, nâng cấp tối đa 32GB)",512 GB PCIe Gen4 NVMe TLC M.2 SSD,15.6 inches,Micro-edgeChống chóiĐộ sáng tối đa 250 nitsĐộ phủ màu 45% NTSC,"52.5 Wh , 3 Cell",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7535HS (16MB Cache, up to 4.5 GHz, 6 lõi / 12 luồng)",1 X USB Type-C2 X USB Type-A1 X Pin thông minh AC1 X HDMI 2.11 X Jack cắm tai nghe,,23.5,2.3,HP
Laptop ASUS ROG Strix G16 G614JU-N3135W,I5-13450HX/16GB/512GB PCIE/VGA 6GB RTX4050/16.0 FHD 165HZ/WIN11/XÁM,30990000.0,33990000.0,,,,,,,,,,,,,,24.0,2.3,ASUS
Laptop Acer Aspire Lite 16 AL16-51P-72S2,I7-1255U/16GB+8GB/512GB PCIE/16.0 FHD+/WIN11/XÁM,15990000.0,16990000.0,Intel Iris Xe Graphics,24GB,DDR5 4800 MT/s,"2 khe (Máy nguyên bản 16GB, được tặng 8GB, nâng cấp tối đa 64GB)","512GB PCIe NVMe SSD (Hỗ trợ khe cắm SSD M.2, nâng cấp tối đa 2TB SSD)",16 inches,Độ sáng 300 nitsĐộ phủ màu 45% NTSCMàn hình LCD TFT đèn nền LED ComfyView của Acer  Góc nhìn rộng lên đến 170 độ,Li-ion Battery 58Whr 3-cell 65W PD Type-C Adapter,Windows 11 Home SL,1920 x 1200 pixels (FullHD+),"Intel Core i7-1255U (10 lõi / 12  luồng, 3.5 GHz, turbo boost 4.7 GHz, 12 MB Intel Smart Cache)","1x USB Type-C (DisplayPort / Sạc) 3x USB-A Gen 1  1x HDMI 1.4 port với HDCP 1x Giắc cắm tai nghe/loa 3,5 mm, hỗ trợ tai nghe có micrô tích hợp Thẻ nhớ microSD lên tới 512 GB (tương thích SDXC, tương thích exFAT)",,17.9,1.6,Acer
MacBook Pro 14 M4 Pro 14CPU 20GPU 24GB 1TB | Chính hãng Apple Việt Nam,,59990000.0,,GPU 20 lõiNeural Engine 16 lõi,24GB,,,1TB ,14.2 inches,"Màn hình Liquid Retina XDR XDR (Extreme Dynamic Range) Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR) 1 tỷ màu Dải màu rộng (P3) Công nghệ True Tone Hỗ trợ tối đa hai màn hình ngoài",Pin Li-Po 72.4 watt-giờ Thời gian xem video trực tuyến lên đến 22 giờ Thời gian duyệt web trên mạng không dây lên đến 14 giờ,macOS,3024 x 1964 pixels ,Apple M4 Pro 14 lõi,"Khe thẻ nhớ SDXC Cổng HDMI Jack cắm tai nghe 3.5 mm Cổng MagSafe 3 Ba cổng Thunderbolt 5 (USB‑C) hỗ trợ: Sạc, DisplayPort, Thunderbolt 5 (lên đến 120Gb/s), Thunderbolt 4 (lên đến 40Gb/s), USB 4 (lên đến 40Gb/s)",,15.5,1.56,Apple
Laptop MSI Katana 15 B13UDXK-2270VN V2,I5-13500H/16GB/1TB PCIE/VGA 6GB RTX3050/15.6 FHD 144HZ/WIN11/ĐEN/BALO,20990000.0,23990000.0,NVIDIA GeForce RTX 3050 6GBIntel Iris Xe Graphics,16GB,DDR5-5200,"2 khe (2x 8GB, nâng cấp tối đa 64GB)",1TB SSD,15.6 inches,Màn hình chống chói,3-Cell,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-13500H (2.6GHz,12 lõi (4 P-cores + 8 E-cores), Max Turbo Frequency 4.7 GHz)",2 x Type-A USB3.2 Gen1 1 x Type-A USB2.0 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),,24.9,2.3,MSI
Laptop HP 240 G9 9E5W3PT,I5-1235U/8GB + 8GB/512GB PCIE/14.0 FHD/WIN11/BẠC,13990000.0,16990000.0,Intel Iris Xe Graphics,16GB,DDR4-3200 MHz,"2 khe (Máy nguyên bản 8GB, được tặng 8GB)",512 GB PCIe NVMe SSD,14 inches,Độ sáng 250 nits Độ phủ màu 45% NTSC Màn hình chống chóiViền mỏng,"3-cell, 41 Wh Li-ion",Windows 11,1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (up to 4.4 GHz with Intel Turbo Boost Technology,12 MB L3 cache,10 lõi /12 luồng)",1x USB Type-C  2x USB Type-A  1x AC power 1x HDMI 1.4b 1x Stereo headphone/microphone combo jack 1x RJ-45,,19.9,1.52,HP
Laptop ASUS Zenbook S 16 UM5606KA-RK113WS,RYZEN AI 7 350/24GB/1TB PCIE/16.0 3K OLED 120HZ/WIN11 + OFFICE/XÁM,38490000.0,42990000.0,AMD Radeon Graphics,24GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,16 inches,Thời gian phản hồi 0.2ms Độ sáng 400nits Độ sáng tối đa 500nits HDR Độ phủ màu 100% DCI-P3  HDR True Black 500 1.07 tỷ màu Giảm 70% ánh sáng xanh có hại TÜV Rheinland-certified SGS Eye Care Display,"78WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",1x USB 3.2 Gen 2 Type-A (10Gbps) 2x USB 4.0 Gen 3 Type-C hỗ trợ hiển thị/cung cấp điện (40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm Đầu đọc thẻ SD 4.0,AMD XDNA NPU up to 50TOPS,13.9,1.4,ASUS
MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W | Chính hãng Apple Việt Nam,,32490000.0,32990000.0,GPU 10 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,16GB,,,256GB,15.3 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 66.5 watt‑giờ tích hợp,macOS,2880 x 1864 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3 Jack cắm tai nghe 3.5 mm Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,11.3,1.24,Apple
Laptop Acer Aspire Lite 14 AL14-71M-52GQ,I5-12500H/16GB/512GB PCIE/14.0 WUXGA/WIN11/BẠC,14990000.0,15990000.0,Intel Iris Xe Graphics,16GB,DDR5 4800MHz,"2x 8GB (1 RAM Onboard + 1 khe RAM rời, Nâng cấp tối đa 40GB)","512GB SSD PCIe NVMe (1 x M.2 PCIe NVMe, Nâng cấp tối đa 2TB SSD)",14 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSCAcer ComfyView,3 cell 58WHrs,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel Core i5-12500H (Up to 4.50GHz, 12 lõi, 16 luồng, 18MB Intel Smart Cache)","1x USB Type-C 3x USB-A 1x HDMI 1.4 hỗ trợ HDCP 1x Đầu đọc thẻ MicroSD 1x giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp",,17.9,1.6,Acer
